"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","origin_binomial","age","vac_hes","child","news_opposite","new_region","new_back_normal","new_finance_plan"
"1788",1800,2,2,3,2,2,2,2,3,3,2,3,3,3,3,3,2,4,3,3,5,3,2,87,2,3,3,2,3,3,3,1,1,3,4,4,4,4,4,4,1,4,1,1,4,4,45,1,1,2,4,1,1,3,51,2.14285714285714,2.83333333333333,2.66666666666667,3.6,2.83333333333333,4,"Female","ug","natural",1,61,1,"yes",3,"istanbul","6to12months",2
"1789",1801,2,2,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,50,2,4,3,3,3,3,4,2,2,5,4,3,4,4,3,4,3,80,1,1,5,4,36,1,1,2,5,1,1,3,75,1.71428571428571,4,4,3.8,3.33333333333333,3.66666666666667,"Female","pg","natural",1,52,1,"yes",3,"istanbul","more12months",5
"1790",1802,2,2,2,2,2,3,2,4,4,4,2,5,4,3,4,2,5,4,5,4,3,4,82,2,4,3,3,4,2,1,3,2,3,4,2,3,4,4,3,2,72,3,1,3,1,28,1,1,32,4,1,1,3,83,2.14285714285714,3.83333333333333,3,4.2,2.83333333333333,3.33333333333333,"Female","ug","natural",1,44,0,"yes",6,"other","less6months",4
"1791",1803,1,1,2,1,1,1,1,4,1,4,3,3,5,1,5,2,5,5,5,5,1,3,82,2,3,2,2,2,2,3,3,3,2,3,3,3,4,2,4,3,21,3,3,3,4,9,1,1,4,4,1,2,1,70,1.14285714285714,3.33333333333333,2.66666666666667,4.2,2.33333333333333,3.16666666666667,"Female","ug","not_sure",0,25,0,"no",3,"izmir","less6months",3
"1792",1804,3,3,4,4,2,2,1,2,4,3,5,2,3,4,5,4,5,4,2,4,1,2,18,2,4,3,4,4,3,1,1,1,4,4,4,4,4,4,4,2,100,3,3,5,2,20,2,1,4,4,1,2,3,0,2.71428571428571,3.16666666666667,4.33333333333333,3.2,3.16666666666667,4,"Male","ug","not_sure",0,36,0,"no",5,"izmir","more12months",2
"1793",1805,4,2,2,4,2,4,2,3,2,3,4,4,3,3,5,5,3,4,4,2,5,2,81,2,3,1,4,1,2,4,4,2,4,3,2,2,3,1,1,2,55,3,2,3,4,4,1,1,2,3,1,2,3,30,2.85714285714286,3.16666666666667,4.33333333333333,3.6,2.5,2,"Female","below_ug","artificial",0,20,0,"no",3,"istanbul","less6months",2
"1794",1806,2,3,2,2,2,3,1,2,3,2,2,2,3,4,5,4,3,2,4,3,5,2,65,2,2,1,1,1,2,2,2,2,3,3,2,3,4,1,2,2,25,1,1,3,5,5,1,1,67,3,1,2,3,40,2.14285714285714,2.33333333333333,4.33333333333333,3.4,1.5,2.5,"Female","below_ug","natural",1,21,1,"no",2,"other","less6months",2
"1795",1807,2,1,3,1,2,2,3,5,2,2,3,4,4,2,4,1,6,6,3,5,2,2,0,2,4,1,4,4,3,1,3,1,3,4,4,3,4,4,4,1,50,1,2,3,1,24,1,1,2,3,1,1,3,80,2,3.33333333333333,2.33333333333333,4.4,2.83333333333333,3.83333333333333,"Female","below_ug","artificial",0,40,1,"yes",6,"istanbul","less6months",2
"1796",1808,1,1,2,1,1,1,1,4,4,4,3,4,4,3,3,2,4,5,4,5,5,4,84,2,3,3,3,1,3,3,3,3,3,4,4,4,4,4,4,3,15,1,1,4,3,45,2,1,2,4,1,1,3,64,1.14285714285714,3.83333333333333,2.66666666666667,4.6,2.66666666666667,4,"Male","ug","natural",1,61,1,"yes",4,"istanbul","6to12months",4
"1797",1809,4,2,2,4,2,4,2,2,2,2,2,2,1,2,5,5,2,5,6,2,2,7,35,1,3,2,3,2,2,4,2,1,4,1,1,1,2,1,2,1,50,1,1,2,5,6,1,1,58,3,1,2,3,50,2.85714285714286,1.83333333333333,4,3.4,2.66666666666667,1.33333333333333,"Female","below_ug","natural",1,22,1,"no",2,"other","less6months",0
"1798",1810,2,2,2,1,2,2,2,5,2,4,5,5,5,5,5,3,3,4,2,2,3,1,60,2,3,2,3,3,2,4,1,1,3,4,3,4,4,1,4,2,20,1,1,5,4,10,1,1,3,4,1,2,2,26,1.85714285714286,4.33333333333333,4.33333333333333,2.8,2.83333333333333,3.33333333333333,"Female","ug","natural",1,26,1,"no",3,"ankara","more12months",1
"1799",1811,1,1,1,1,1,1,1,5,3,5,3,3,5,1,2,3,6,6,6,6,3,6,71,2,4,2,3,4,1,4,1,1,4,4,4,4,4,4,4,4,50,3,1,4,2,7,1,1,2,4,1,2,3,25,1,4,2,5.4,3,4,"Female","ug","natural",1,23,0,"no",5,"istanbul","6to12months",6
"1800",1812,1,1,2,2,1,2,1,2,2,3,4,4,5,2,4,2,5,3,6,4,3,2,70,2,4,4,4,4,3,4,2,2,4,4,4,3,4,3,4,4,50,3,1,5,2,17,1,1,2,5,1,2,3,40,1.42857142857143,3.33333333333333,2.66666666666667,4.2,3.83333333333333,3.66666666666667,"Female","pg","natural",1,33,0,"no",5,"istanbul","more12months",2
"1801",1813,1,1,4,3,1,1,4,5,4,4,4,4,5,3,3,2,5,4,4,5,2,6,100,2,4,3,1,4,3,3,1,1,1,4,4,3,4,2,4,3,100,1,1,0,5,21,2,1,36,5,2,1,3,50,2.14285714285714,4.33333333333333,2.66666666666667,4,3,3.5,"Male","pg","natural",1,37,1,"yes",2,"other","other",6
"1802",1814,1,1,1,1,1,1,1,3,3,3,3,3,4,4,5,4,6,6,6,6,6,4,0,2,4,2,3,4,2,2,1,1,5,4,4,4,4,4,4,3,0,1,1,4,4,22,2,1,5,4,1,1,3,80,1,3.16666666666667,4.33333333333333,6,2.83333333333333,4,"Male","ug","natural",1,38,1,"yes",3,"other","6to12months",4
"1803",1815,2,1,1,1,2,3,1,4,4,4,4,4,4,4,5,1,4,3,3,5,2,6,100,2,2,2,1,1,3,4,1,1,4,4,4,4,4,1,4,2,75,1,1,5,3,19,2,1,74,5,1,1,3,70,1.57142857142857,4,3.33333333333333,3.4,2.16666666666667,3.5,"Male","pg","natural",1,35,1,"yes",4,"other","more12months",6
"1804",1816,2,2,2,2,2,2,2,2,2,3,2,3,5,3,4,3,5,3,3,3,2,5,0,2,3,3,3,3,2,3,3,2,3,2,3,3,4,3,4,2,51,3,2,3,2,4,2,1,48,3,1,2,3,86,2,2.83333333333333,3.33333333333333,3.2,2.83333333333333,3.16666666666667,"Male","below_ug","artificial",0,20,0,"no",5,"other","less6months",5
"1805",1817,1,2,2,2,1,1,1,4,4,2,3,4,4,2,2,1,6,5,5,6,4,4,12,2,3,2,1,3,1,2,1,3,3,3,4,3,4,4,4,2,63,2,1,5,4,44,1,1,26,5,1,2,1,29,1.42857142857143,3.5,1.66666666666667,5.2,2,3.66666666666667,"Female","pg","natural",1,60,0,"no",3,"other","more12months",4
"1806",1818,4,3,4,4,1,4,4,4,3,3,3,1,3,5,5,4,4,5,4,2,3,1,50,2,4,3,4,4,4,4,3,1,3,4,3,4,3,4,3,2,100,3,1,5,4,5,1,1,44,4,1,2,3,8,3.42857142857143,2.83333333333333,4.66666666666667,3.6,3.83333333333333,3.5,"Female","ug","natural",1,21,0,"no",3,"other","more12months",1
"1807",1819,4,3,4,4,2,3,2,3,4,2,2,2,4,4,4,2,3,3,5,2,2,7,50,2,4,2,3,3,3,4,2,3,4,3,3,3,4,4,3,1,20,1,1,4,3,3,1,1,71,3,1,2,3,35,3.14285714285714,2.83333333333333,3.33333333333333,3,3.16666666666667,3.33333333333333,"Female","below_ug","natural",1,19,1,"no",4,"other","6to12months",0
"1808",1820,1,1,2,2,1,1,1,5,3,4,4,3,3,3,4,2,6,6,5,6,4,5,100,2,1,1,1,1,1,2,1,1,5,4,3,4,4,4,4,1,10,1,1,0,5,7,2,1,53,3,1,2,3,50,1.28571428571429,3.66666666666667,3,5.4,1.16666666666667,3.83333333333333,"Male","below_ug","natural",1,23,1,"no",2,"other","other",5
"1809",1821,2,2,2,2,1,3,3,5,4,5,4,4,5,3,4,4,4,5,3,3,2,5,70,2,4,3,2,3,3,4,3,2,5,3,3,4,3,2,4,3,60,1,1,3,1,4,1,1,35,3,1,2,3,73,2.14285714285714,4.5,3.66666666666667,3.4,3.16666666666667,3.16666666666667,"Female","below_ug","natural",1,20,1,"no",6,"other","less6months",5
"1810",1822,2,1,2,2,2,3,1,1,2,2,5,2,1,1,3,3,1,1,2,4,1,2,100,2,2,1,1,1,1,1,1,2,2,1,2,2,4,3,2,2,11,3,2,2,2,11,2,1,48,4,1,2,2,66,1.85714285714286,2.16666666666667,2.33333333333333,1.8,1.16666666666667,2.33333333333333,"Male","ug","artificial",0,27,0,"no",5,"other","less6months",2
"1811",1823,1,1,3,2,2,1,2,4,1,2,5,4,5,2,5,4,4,3,4,4,4,2,100,2,3,3,4,4,2,3,2,3,3,3,2,2,2,2,3,2,100,1,1,5,3,9,2,1,2,3,1,2,3,0,1.71428571428571,3.5,3.66666666666667,3.8,3.16666666666667,2.33333333333333,"Male","below_ug","natural",1,25,1,"no",4,"istanbul","more12months",2
"1812",1824,2,1,2,3,1,1,3,2,2,2,2,4,2,4,2,4,5,2,3,5,1,2,65,2,4,2,4,4,3,3,3,1,5,4,4,4,4,4,4,3,0,1,3,0,1,9,1,1,24,4,1,2,3,30,1.85714285714286,2.33333333333333,3.33333333333333,3.2,3.33333333333333,4,"Female","ug","not_sure",0,25,1,"no",6,"other","other",2
"1813",1825,2,4,2,2,1,1,2,5,4,2,4,4,4,4,4,1,3,4,2,5,3,6,95,2,3,3,1,3,2,3,3,3,2,4,3,3,3,4,4,3,49,1,1,3,4,36,2,1,2,4,1,1,3,72,2,3.83333333333333,3,3.4,2.5,3.5,"Male","ug","natural",1,52,1,"yes",3,"istanbul","less6months",6
"1814",1826,2,1,2,2,1,3,2,3,3,3,3,3,3,3,4,2,3,4,3,4,2,2,56.8690843621399,2,4,4,4,4,2,3,1,2,3,4,4,4,4,4,4,3,49.8004646360351,1,1,5,1,11,2,1,2,4,1,2,2,13,1.85714285714286,3,3,3.2,3.5,4,"Male","ug","natural",1,27,1,"no",6,"istanbul","more12months",2
"1815",1827,3,4,3,4,3,2,1,5,5,5,4,4,5,5,5,3,6,6,6,3,1,1,20,2,4,2,3,3,3,2,1,2,3,3,3,4,3,3,3,2,50,1,1,5,4,7,1,1,2,3,1,2,2,40,2.85714285714286,4.66666666666667,4.33333333333333,4.4,2.83333333333333,3.16666666666667,"Female","below_ug","natural",1,23,1,"no",3,"istanbul","more12months",1
"1816",1828,1,1,1,2,1,1,2,4,4,4,2,4,3,3,4,5,4,3,4,3,3,2,73,2,4,3,4,4,2,2,3,3,3,4,3,3,4,4,4,2,64,1,1,2,2,5,2,1,79,3,2,2,3,40,1.28571428571429,3.5,4,3.4,3.16666666666667,3.66666666666667,"Male","below_ug","natural",1,21,1,"no",5,"other","less6months",2
"1817",1829,1,1,1,1,1,1,1,3,2,1,1,4,4,4,4,1,6,6,6,5,5,2,65,2,4,3,3,4,1,3,3,4,4,3,3,3,3,1,3,1,60,1,3,3,4,15,1,1,71,4,1,2,3,100,1,2.5,3,5.6,3,2.66666666666667,"Female","ug","not_sure",0,31,1,"no",3,"other","less6months",2
"1818",1830,1,1,1,1,1,1,1,5,5,3,4,2,4,2,4,4,5,5,3,3,2,1,32,2,1,2,3,3,1,3,2,2,2,4,3,3,4,4,4,3,0,2,3,5,4,16,2,2,36,5,1,2,3,0,1,3.83333333333333,3.33333333333333,3.6,2.16666666666667,3.66666666666667,"Male","pg","not_sure",0,32,0,"no",3,"other","more12months",1
"1819",1831,3,2,2,2,2,2,1,3,3,2,3,4,4,4,4,3,5,4,3,3,2,2,65,2,2,2,2,4,2,2,2,1,3,3,2,4,4,3,3,4,20,1,3,3,4,7,2,1,57,4,1,2,1,20,2,3.16666666666667,3.66666666666667,3.4,2.33333333333333,3.16666666666667,"Male","ug","not_sure",0,23,1,"no",3,"other","less6months",2
"1820",1832,4,4,4,4,3,3,2,1,1,2,3,3,4,1,5,5,2,1,3,1,2,7,27,3,2,2,1,1,2,1,1,1,3,1,4,1,3,2,3,1,79,1,1,3,1,4,2,1,2,3,1,2,3,45,3.42857142857143,2.33333333333333,3.66666666666667,1.8,1.5,2.33333333333333,"Male","below_ug","natural",1,20,1,"no",6,"istanbul","less6months",0
"1821",1833,2,3,2,3,2,2,2,3,3,3,4,2,4,2,3,3,5,5,5,5,3,3,50,2,3,2,3,3,3,3,3,2,4,4,3,4,4,4,4,3,50,3,2,5,1,11,1,1,35,4,1,2,3,70,2.28571428571429,3.16666666666667,2.66666666666667,4.6,2.83333333333333,3.83333333333333,"Female","ug","artificial",0,27,0,"no",6,"other","more12months",3
"1822",1834,2,2,2,2,1,1,2,4,4,4,4,4,4,3,3,1,5,3,5,4,3,2,100,2,3,2,3,4,3,3,2,2,4,4,3,4,4,4,4,2,80,1,1,5,4,26,1,1,4,5,1,2,3,70,1.71428571428571,4,2.33333333333333,4,3,3.83333333333333,"Female","pg","natural",1,42,1,"no",3,"izmir","more12months",2
"1823",1835,4,4,4,3,3,4,4,3,4,3,4,4,5,5,5,4,5,2,3,5,1,2,50,3,4,2,4,4,4,4,3,2,4,4,4,4,4,3,4,1,50,1,1,3,4,7,1,1,3,4,1,2,3,0,3.71428571428571,3.83333333333333,4.66666666666667,3.2,3.66666666666667,3.83333333333333,"Female","ug","natural",1,23,1,"no",3,"ankara","less6months",2
"1824",1836,2,1,1,1,2,2,1,4,4,4,2,3,2,2,3,3,5,4,4,2,4,4,51,2,4,3,3,4,3,3,3,1,3,4,3,4,4,2,3,1,10,3,1,5,4,6,1,1,4,3,1,2,3,35,1.42857142857143,3.16666666666667,2.66666666666667,3.8,3.33333333333333,3.33333333333333,"Female","below_ug","natural",1,22,0,"no",3,"izmir","more12months",4
"1825",1837,4,4,3,4,4,3,2,4,3,3,3,4,4,4,4,4,2,3,3,2,1,3,80,2,4,4,4,4,4,4,1,1,5,4,3,4,4,4,4,3,20,1,1,3,3,4,1,1,13,3,1,2,3,20,3.42857142857143,3.5,4,2.2,4,3.83333333333333,"Female","below_ug","natural",1,20,1,"no",4,"other","less6months",3
"1826",1839,2,2,3,4,3,2,3,4,4,4,4,3,4,3,2,1,4,5,5,4,2,2,0,2,4,2,3,4,2,1,2,1,3,2,3,4,4,1,3,1,50,1,1,5,4,13,2,1,2,4,1,2,3,25,2.71428571428571,3.83333333333333,2,4,2.66666666666667,2.83333333333333,"Male","ug","natural",1,29,1,"no",3,"istanbul","more12months",2
"1827",1840,1,1,1,1,1,1,1,2,1,2,1,4,4,1,1,1,2,2,3,5,5,1,100,2,4,2,3,2,1,1,2,3,2,3,3,2,4,2,3,1,100,1,3,3,1,47,2,1,36,3,1,1,3,60,1,2.33333333333333,1,3.4,2.16666666666667,2.83333333333333,"Male","below_ug","not_sure",0,63,1,"yes",6,"other","less6months",1
"1828",1841,4,4,3,1,1,2,2,5,4,5,2,5,3,5,5,5,3,3,4,2,1,3,65,2,4,3,4,4,4,4,3,1,4,4,3,3,4,4,3,1,30,1,1,5,4,6,1,1,3,4,1,2,3,3,2.42857142857143,4,5,2.6,3.83333333333333,3.5,"Female","ug","natural",1,22,1,"no",3,"ankara","more12months",3
"1829",1842,2,1,1,2,1,2,1,3,4,3,2,3,3,4,4,4,5,3,6,3,5,2,41,2,2,1,1,1,1,1,2,3,3,2,1,2,3,1,2,3,100,1,3,5,4,16,2,1,52,5,1,1,3,100,1.42857142857143,3,4,4.4,1.16666666666667,1.83333333333333,"Male","pg","not_sure",0,32,1,"yes",3,"other","more12months",2
"1830",1843,2,2,2,2,1,2,2,4,3,2,3,3,4,4,4,1,3,2,5,5,4,4,56.8690843621399,2,2,3,3,3,2,3,3,1,4,4,3,3,4,3,3,2,45,3,3,5,3,29,1,1,2,4,1,1,3,68,1.85714285714286,3.16666666666667,3,3.8,2.66666666666667,3.33333333333333,"Female","ug","not_sure",0,45,0,"yes",4,"istanbul","more12months",4
"1831",1844,2,2,4,3,4,2,2,2,2,2,2,2,3,4,4,1,2,2,4,2,3,2,100,2,3,2,3,4,3,4,3,2,4,4,4,4,4,4,4,4,50,3,3,5,1,27,1,1,4,5,1,1,3,61,2.71428571428571,2.16666666666667,3,2.6,3.16666666666667,4,"Female","pg","not_sure",0,43,0,"yes",6,"izmir","more12months",2
"1832",1845,1,1,2,2,2,1,1,5,3,3,3,4,4,2,3,2,4,4,6,6,5,6,72,2,4,4,1,4,1,3,3,3,4,4,4,4,4,4,4,2,0,1,2,5,2,32,2,1,2,3,1,1,3,78,1.42857142857143,3.66666666666667,2.33333333333333,5,2.83333333333333,4,"Male","below_ug","artificial",0,48,1,"yes",5,"istanbul","more12months",6
"1833",1846,2,1,1,1,1,1,2,2,2,3,3,3,2,4,4,3,3,3,3,2,2,5,100,2,2,2,1,2,1,2,2,2,3,3,3,3,3,2,3,3,20,3,1,4,3,30,1,1,3,5,1,2,1,85,1.28571428571429,2.5,3.66666666666667,2.6,1.66666666666667,2.83333333333333,"Female","pg","natural",1,46,0,"no",4,"ankara","6to12months",5
"1834",1847,2,1,2,2,1,2,1,4,3,4,2,3,4,4,5,5,6,3,5,2,2,6,80,2,4,4,4,3,2,3,1,1,3,4,3,4,4,4,4,2,90,1,3,5,4,21,1,1,42,4,1,1,3,80,1.57142857142857,3.33333333333333,4.66666666666667,3.6,3.33333333333333,3.83333333333333,"Female","ug","not_sure",0,37,1,"yes",3,"other","more12months",6
"1835",1848,3,2,4,4,2,3,2,4,2,5,3,3,5,4,5,4,4,2,5,3,2,3,1,2,2,1,2,2,3,1,2,1,4,4,3,4,4,4,4,3,75,3,3,4,4,3,1,1,3,3,1,2,3,90,2.85714285714286,3.66666666666667,4.33333333333333,3.2,1.83333333333333,3.83333333333333,"Female","below_ug","not_sure",0,19,0,"no",3,"ankara","6to12months",3
"1836",1849,2,1,1,2,2,2,1,3,4,4,4,3,3,2,4,3,5,2,5,4,3,3,72,2,3,2,2,3,2,2,3,3,3,3,3,4,4,4,4,1,30,1,1,3,3,8,1,1,4,4,1,2,2,80,1.57142857142857,3.5,3,3.8,2.33333333333333,3.66666666666667,"Female","ug","natural",1,24,1,"no",4,"izmir","less6months",3
"1837",1850,2,2,2,2,2,4,2,5,2,4,4,5,4,5,5,4,3,2,2,2,2,6,50,2,4,1,2,1,3,1,2,1,3,4,1,1,4,1,3,4,62,1,3,5,2,21,2,1,2,4,1,1,3,70,2.28571428571429,4,4.66666666666667,2.2,2,2.33333333333333,"Male","ug","not_sure",0,37,1,"yes",5,"istanbul","more12months",6
"1838",1851,4,2,4,2,3,4,4,5,2,5,1,1,4,5,5,4,2,2,4,2,2,2,80,1,2,1,3,2,3,2,3,2,4,4,4,4,4,4,4,3,49.8004646360351,1,1,5,1,36,1,1,2,4,1,1,1,37,3.28571428571429,3,4.66666666666667,2.4,2.16666666666667,4,"Female","ug","natural",1,52,1,"yes",6,"istanbul","more12months",2
"1839",1852,4,4,3,3,2,3,2,3,2,3,3,4,4,3,5,4,2,3,2,3,2,4,75,2,4,4,4,3,3,4,1,1,4,4,4,4,4,3,4,3,50,1,1,0,1,37,2,1,2,5,1,2,1,60,3,3.16666666666667,4,2.4,3.66666666666667,3.83333333333333,"Male","pg","natural",1,53,1,"no",6,"istanbul","other",4
"1840",1853,3,2,3,2,2,3,2,4,2,2,4,4,4,3,4,2,3,3,2,3,2,4,65,2,4,2,2,4,2,4,2,1,3,4,4,4,4,4,4,1,50,3,1,0,1,28,1,1,3,5,1,1,3,20,2.42857142857143,3.33333333333333,3,2.6,3,4,"Female","pg","natural",1,44,0,"yes",6,"ankara","other",4
"1841",1854,2,1,2,3,1,1,2,3,3,3,3,4,4,4,5,4,3,2,3,3,2,1,25,2,3,2,3,4,2,2,2,2,4,3,3,3,3,3,3,3,73,3,1,2,1,11,1,1,2,4,1,2,3,50,1.71428571428571,3.33333333333333,4.33333333333333,2.6,2.66666666666667,3,"Female","ug","natural",1,27,0,"no",6,"istanbul","less6months",1
"1842",1855,3,3,3,3,2,4,2,3,4,4,1,3,3,4,5,5,2,2,4,2,2,7,45,2,4,4,2,4,4,4,3,2,5,4,4,4,4,4,4,3,60,1,2,3,5,4,1,1,10,3,1,2,3,99,2.85714285714286,3,4.66666666666667,2.4,3.66666666666667,4,"Female","below_ug","artificial",0,20,1,"no",2,"other","less6months",0
"1843",1856,2,2,4,3,1,4,2,3,3,3,1,1,4,4,5,5,3,3,5,2,2,1,62,2,4,4,4,4,3,4,3,1,4,3,4,3,4,3,4,4,50,1,3,5,2,5,1,1,4,4,1,2,3,16,2.57142857142857,2.5,4.66666666666667,3,3.83333333333333,3.5,"Female","ug","not_sure",0,21,1,"no",5,"izmir","more12months",1
"1844",1857,2,2,3,3,2,3,1,4,4,3,3,3,3,4,5,4,3,3,4,3,3,2,45,2,3,2,2,2,2,2,3,2,4,4,3,3,4,2,3,1,16,1,3,2,4,5,1,1,35,3,1,2,3,65,2.28571428571429,3.33333333333333,4.33333333333333,3.2,2.16666666666667,3.16666666666667,"Female","below_ug","not_sure",0,21,1,"no",3,"other","less6months",2
"1845",1858,4,2,2,2,1,3,2,2,2,3,3,3,3,3,4,3,4,3,5,3,2,2,70,1,3,4,4,3,3,2,2,3,4,4,3,3,3,2,4,4,49.8004646360351,3,3,4,5,9,2,1,3,4,1,2,1,40,2.28571428571429,2.66666666666667,3.33333333333333,3.4,3.16666666666667,3.16666666666667,"Male","ug","not_sure",0,25,0,"no",2,"ankara","6to12months",2
"1846",1859,2,2,2,2,1,2,4,4,4,4,4,4,5,4,3,3,5,4,5,5,2,5,33,2,3,4,4,3,3,4,2,3,4,4,3,3,4,1,3,2,85,3,3,0,1,20,1,1,2,4,1,1,3,25,2.14285714285714,4.16666666666667,3.33333333333333,4.2,3.5,3,"Female","ug","not_sure",0,36,0,"yes",6,"istanbul","other",5
"1847",1860,2,2,2,2,2,1,1,2,2,2,5,5,5,2,2,1,5,6,2,5,6,5,75,2,3,3,2,4,1,3,2,1,4,4,4,4,4,4,4,2,80,1,1,5,1,27,2,1,2,5,1,1,3,75,1.71428571428571,3.5,1.66666666666667,4.8,2.66666666666667,4,"Male","pg","natural",1,43,1,"yes",6,"istanbul","more12months",5
"1848",1861,2,2,2,2,1,2,2,3,3,3,3,4,4,3,3,3,3,3,5,4,2,5,60,2,2,2,1,3,3,4,3,2,4,4,4,4,4,4,4,2,30,3,1,5,3,5,1,1,2,4,1,2,3,60,1.85714285714286,3.33333333333333,3,3.4,2.5,4,"Female","ug","natural",1,21,0,"no",4,"istanbul","more12months",5
"1849",1862,4,4,4,2,2,2,4,3,3,3,3,4,4,4,4,4,3,3,4,2,2,4,75,1,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,4,90,1,3,5,1,29,2,1,14,5,1,1,3,50,3.14285714285714,3.33333333333333,4,2.8,3.33333333333333,3.5,"Male","pg","not_sure",0,45,1,"yes",6,"other","more12months",4
"1850",1863,4,3,4,2,2,4,3,3,2,4,4,4,5,5,5,5,3,4,3,1,1,3,72,2,4,2,3,4,3,4,3,3,5,4,3,4,4,2,3,3,60,3,1,4,5,4,1,1,45,3,1,2,3,40,3.14285714285714,3.66666666666667,5,2.4,3.33333333333333,3.33333333333333,"Female","below_ug","natural",1,20,0,"no",2,"other","6to12months",3
"1851",1864,1,1,1,1,1,2,1,3,4,4,4,4,4,3,3,1,5,2,3,5,4,1,95,2,2,2,2,2,1,1,1,3,3,3,2,3,4,3,4,1,10,1,1,3,4,9,2,1,2,4,1,2,2,70,1.14285714285714,3.83333333333333,2.33333333333333,3.8,1.66666666666667,3.16666666666667,"Male","ug","natural",1,25,1,"no",3,"istanbul","less6months",1
"1852",1865,4,3,3,2,2,3,3,3,3,4,4,4,4,4,4,2,4,4,3,3,2,4,30,2,4,3,4,4,3,4,2,1,4,4,3,4,4,4,4,2,70,1,1,0,2,4,2,1,40,3,1,2,4,15,2.85714285714286,3.66666666666667,3.33333333333333,3.2,3.66666666666667,3.83333333333333,"Male","below_ug","natural",1,20,1,"no",5,"other","other",4
"1853",1866,2,2,3,4,3,2,2,4,2,2,4,4,4,1,2,1,4,5,4,5,4,3,65,2,3,2,2,2,2,2,2,2,5,4,4,4,4,4,4,3,50,1,2,4,4,7,1,1,4,4,1,2,3,50,2.57142857142857,3.33333333333333,1.33333333333333,4.4,2.16666666666667,4,"Female","ug","artificial",0,23,1,"no",3,"izmir","6to12months",3
"1854",1867,3,2,2,3,2,3,3,4,3,4,3,3,4,4,4,4,5,5,5,4,2,5,58,1,4,3,2,3,2,3,3,2,4,4,3,4,4,3,4,4,93,3,2,5,4,17,2,1,40,4,1,1,3,49,2.57142857142857,3.5,4,4.2,2.83333333333333,3.66666666666667,"Male","ug","artificial",0,33,0,"yes",3,"other","more12months",5
"1855",1868,1,1,2,1,1,2,1,4,2,2,4,3,4,1,1,2,3,6,6,3,3,4,25,2,3,1,3,3,1,2,1,1,3,4,3,4,4,4,3,3,10,1,1,0,2,14,2,1,3,4,1,2,2,25,1.28571428571429,3.16666666666667,1.33333333333333,4.2,2.16666666666667,3.66666666666667,"Male","ug","natural",1,30,1,"no",5,"ankara","other",4
"1856",1869,3,2,2,1,2,3,2,4,3,3,4,2,4,2,4,3,4,3,3,2,2,4,85,2,4,4,4,4,3,4,2,1,3,4,3,4,4,3,4,2,50,3,3,5,2,13,1,1,2,5,1,2,3,35,2.14285714285714,3.33333333333333,3,2.8,3.83333333333333,3.66666666666667,"Female","pg","not_sure",0,29,0,"no",5,"istanbul","more12months",4
"1857",1870,3,2,3,2,1,3,2,4,4,4,4,4,4,4,4,4,4,3,4,3,2,2,87,2,3,3,4,2,2,4,2,2,4,4,3,4,4,4,4,3,50,1,1,5,3,16,1,1,3,4,1,2,1,75,2.28571428571429,4,4,3.2,3,3.83333333333333,"Female","ug","natural",1,32,1,"no",4,"ankara","more12months",2
"1858",1871,1,1,1,2,2,2,1,2,3,2,3,4,3,2,3,3,4,5,3,3,5,1,56.8690843621399,2,3,2,2,3,1,1,2,1,3,4,2,4,4,4,4,2,49.8004646360351,3,3,2,5,10,2,1,2,4,1,2,2,90,1.42857142857143,2.83333333333333,2.66666666666667,4,2,3.66666666666667,"Male","ug","not_sure",0,26,0,"no",2,"istanbul","less6months",1
"1859",1872,3,3,3,4,3,4,3,4,4,5,2,4,2,4,4,4,3,3,5,2,2,1,8,2,4,3,4,4,4,3,2,2,3,4,4,4,4,4,4,2,53,3,1,4,5,24,1,1,4,3,1,2,3,0,3.28571428571429,3.5,4,3,3.66666666666667,4,"Female","below_ug","natural",1,40,0,"no",2,"izmir","6to12months",1
"1860",1873,4,2,2,2,1,4,2,4,3,3,3,4,2,4,5,4,4,4,2,2,2,1,71,1,4,3,4,3,3,3,2,1,3,4,3,4,3,4,4,3,58,1,1,5,3,17,1,1,3,4,1,2,3,52,2.42857142857143,3.16666666666667,4.33333333333333,2.8,3.33333333333333,3.66666666666667,"Female","ug","natural",1,33,1,"no",4,"ankara","more12months",1
