"","X","GAD.1","GAD.2","GAD.3","GAD.4","GAD.5","GAD.6","GAD.7","FOC.1","FOC.2","FOC.3","FOC.4","FOC.5","FOC.6","IUS.1","IUS.2","IUS.3","MAAS.1","MAAS.2","MAAS.3","MAAS.4","MAAS.5","FinancePlan","MortalityRisk","MentalHealth","CRA.1","CRA.2","CRA.3","CRA.4","CRA.5","CRA.6","Government","Norm","CurrentBehavior","RAB.1","RAB.2","RAB.3","RAB.4","RAB.5","RAB.6","Stockpil","RiskPerception","Vaccine","Origin","BacktoNormal","News","Born","Gender","Country","Region","Education","Language","Children","LiveWith","FinancialSatisfaction","GAD.mean","FOC.mean","IUS.mean","MAAS.mean","CRA.mean","RAB.mean","sex","edu","origin","origin_binomial","age","vac_hes","child","news_opposite","new_region","new_back_normal","new_finance_plan"
"1167",1174,3,3,4,3,4,3,2,5,3,5,2,4,4,4,5,2,2,2,2,2,1,5,1,2,3,1,4,4,3,1,1,1,3,2,2,2,4,1,2,3,20,3,1,2,2,30,1,1,2,4,1,2,1,0,3.14285714285714,3.83333333333333,3.66666666666667,1.8,2.66666666666667,2.16666666666667,"Female","ug","natural",1,46,0,"no",5,"istanbul","less6months",5
"1168",1175,2,2,2,2,2,2,2,3,4,4,2,3,3,4,5,4,4,5,6,5,3,7,75,2,2,1,3,2,1,1,2,1,3,2,3,3,3,4,3,1,27,3,1,3,5,6,2,1,28,4,1,2,3,100,2,3.16666666666667,4.33333333333333,4.6,1.66666666666667,3,"Male","ug","natural",1,22,0,"no",2,"other","less6months",0
"1169",1176,3,3,3,3,2,2,2,4,2,4,4,5,5,4,5,5,3,3,4,3,1,4,20,2,4,4,4,4,4,4,2,1,4,4,4,3,4,1,3,3,90,1,1,5,1,12,1,1,3,4,1,2,3,30,2.57142857142857,4,4.66666666666667,2.8,4,3.16666666666667,"Female","ug","natural",1,28,1,"no",6,"ankara","more12months",4
"1170",1177,1,1,2,2,1,2,2,4,2,2,4,3,4,4,4,4,4,4,3,2,2,2,65,2,4,2,2,3,2,3,4,2,4,4,4,4,4,4,4,2,5,3,1,3,2,5,1,1,2,3,1,2,3,85,1.57142857142857,3.16666666666667,4,3,2.66666666666667,4,"Female","below_ug","natural",1,21,0,"no",5,"istanbul","less6months",2
"1171",1178,2,2,2,3,2,2,1,3,3,3,4,2,5,2,2,2,5,3,4,2,2,2,0,2,3,2,1,1,2,1,1,2,4,4,3,3,3,3,4,3,100,1,1,2,3,9,2,1,4,4,1,2,3,49,2,3.33333333333333,2,3.2,1.66666666666667,3.33333333333333,"Male","ug","natural",1,25,1,"no",4,"izmir","less6months",2
"1172",1179,1,1,1,1,1,1,1,3,4,3,3,3,5,4,4,1,6,6,6,6,6,4,50,2,3,2,2,2,1,2,3,3,3,4,3,2,3,1,3,1,50,1,3,0,3,36,1,1,3,4,1,2,3,30,1,3.5,3,6,2,2.66666666666667,"Female","ug","not_sure",0,52,1,"no",4,"ankara","other",4
"1173",1180,3,2,3,2,2,2,3,4,2,4,3,4,5,3,4,3,2,3,4,2,3,2,66,2,4,3,2,4,3,2,4,3,3,4,3,3,4,4,3,2,74,1,1,3,3,2,2,1,3,3,1,2,3,44,2.42857142857143,3.66666666666667,3.33333333333333,2.8,3,3.5,"Male","below_ug","natural",1,18,1,"no",4,"ankara","less6months",2
"1174",1181,1,1,2,3,1,2,2,3,2,3,2,4,4,4,4,4,2,4,5,3,2,3,66,2,3,3,4,4,3,3,3,2,3,4,4,3,4,3,4,2,58,3,1,5,4,8,1,1,67,4,1,2,3,50,1.71428571428571,3,4,3.2,3.33333333333333,3.66666666666667,"Female","ug","natural",1,24,0,"no",3,"other","more12months",3
"1175",1182,4,4,4,4,3,3,3,4,1,5,4,4,5,5,5,5,3,3,3,3,2,5,62,1,4,4,4,4,4,4,4,2,5,4,3,2,4,3,4,1,50,1,1,4,4,5,1,1,40,3,1,2,3,50,3.57142857142857,3.83333333333333,5,2.8,4,3.33333333333333,"Female","below_ug","natural",1,21,1,"no",3,"other","6to12months",5
"1176",1183,2,2,2,2,1,2,1,3,2,4,2,1,5,3,3,5,6,5,5,5,2,4,20,2,3,3,1,4,2,1,3,1,4,4,4,4,4,2,4,3,40,1,3,4,5,4,2,1,17,3,1,2,3,40,1.71428571428571,2.83333333333333,3.66666666666667,4.6,2.33333333333333,3.66666666666667,"Male","below_ug","not_sure",0,20,1,"no",2,"other","6to12months",4
"1177",1184,4,2,3,4,2,4,2,5,5,5,4,4,4,4,5,5,5,5,6,5,3,5,85,2,4,3,2,2,4,3,3,1,5,4,4,4,4,4,4,4,50,1,1,5,4,16,1,1,79,4,1,1,3,80,3,4.5,4.66666666666667,4.8,3,4,"Female","ug","natural",1,32,1,"yes",3,"other","more12months",5
"1178",1185,3,4,3,3,2,4,2,4,1,4,2,3,4,4,5,4,3,3,3,3,1,4,50,1,4,3,3,3,3,2,3,3,2,3,2,4,3,4,3,3,30,1,1,3,2,18,2,1,2,4,1,2,3,65,3,3,4.33333333333333,2.6,3,3.16666666666667,"Male","ug","natural",1,34,1,"no",5,"istanbul","less6months",4
"1179",1186,2,2,2,2,1,1,2,4,2,3,2,3,5,1,4,4,3,4,4,2,4,2,90,2,4,3,1,4,3,4,3,3,3,4,3,4,3,4,4,3,25,1,3,5,4,25,1,1,4,4,1,2,3,87,1.71428571428571,3.16666666666667,3,3.4,3.16666666666667,3.66666666666667,"Female","ug","not_sure",0,41,1,"no",3,"izmir","more12months",2
"1180",1187,4,4,4,3,2,2,3,3,3,4,3,3,5,5,5,5,1,3,5,1,1,7,42,1,4,4,3,1,4,3,2,2,5,4,4,4,4,4,4,3,69,1,2,4,3,3,1,1,64,3,1,2,3,63,3.14285714285714,3.5,5,2.2,3.16666666666667,4,"Female","below_ug","artificial",0,19,1,"no",4,"other","6to12months",0
"1181",1188,2,1,3,2,3,2,1,1,2,1,5,1,5,5,5,5,1,6,6,1,3,2,75,2,4,4,4,4,4,4,1,1,4,4,4,4,4,1,4,4,100,3,3,5,6,11,1,1,43,4,2,2,3,0,2,2.5,5,3.4,4,3.5,"Female","ug","not_sure",0,27,0,"no",1,"other","more12months",2
"1182",1189,1,1,1,1,1,1,1,5,4,5,5,4,5,1,2,1,4,4,5,2,3,4,50,2,4,4,3,4,1,2,1,1,4,4,3,4,4,4,4,2,50,1,1,5,4,13,2,1,2,5,1,2,3,40,1,4.66666666666667,1.33333333333333,3.6,3,3.83333333333333,"Male","pg","natural",1,29,1,"no",3,"istanbul","more12months",4
"1183",1190,2,4,4,2,2,3,3,4,4,4,2,2,1,4,5,5,5,5,5,2,2,1,80,1,4,4,4,4,4,4,2,1,5,4,3,4,4,2,4,1,50,1,1,4,3,3,1,1,73,3,1,2,3,85,2.85714285714286,2.83333333333333,4.66666666666667,3.8,4,3.5,"Female","below_ug","natural",1,19,1,"no",4,"other","6to12months",1
"1184",1191,3,1,3,2,2,2,2,4,4,5,4,3,4,3,4,1,6,3,5,2,2,4,83,2,4,4,4,4,4,4,3,2,3,4,4,4,4,4,4,1,20,1,3,4,4,6,1,1,30,4,1,2,3,100,2.14285714285714,4,2.66666666666667,3.6,4,4,"Female","ug","not_sure",0,22,1,"no",3,"other","6to12months",4
"1185",1192,3,4,4,3,2,3,4,5,3,5,4,5,4,3,3,3,5,2,2,5,3,4,40,2,4,2,1,3,4,3,1,1,3,3,2,3,4,3,3,3,50,3,3,4,1,5,2,1,76,4,1,2,3,10,3.28571428571429,4.33333333333333,3,3.4,2.83333333333333,3,"Male","ug","not_sure",0,21,0,"no",6,"other","6to12months",4
"1186",1193,4,2,3,3,1,4,3,4,2,4,4,2,4,4,4,2,5,6,5,5,3,2,34,2,4,3,1,2,3,1,2,2,3,1,1,3,4,1,1,1,10,1,1,3,5,7,1,1,11,3,1,2,2,80,2.85714285714286,3.33333333333333,3.33333333333333,4.8,2.33333333333333,1.83333333333333,"Female","below_ug","natural",1,23,1,"no",2,"other","less6months",2
"1187",1194,4,4,4,3,1,4,3,2,3,2,2,2,4,5,5,3,3,2,4,2,2,3,50,1,4,3,4,4,4,4,1,3,4,4,3,4,4,4,4,4,85,1,3,3,3,4,1,1,5,3,1,2,3,40,3.28571428571429,2.5,4.33333333333333,2.6,3.83333333333333,3.83333333333333,"Female","below_ug","not_sure",0,20,1,"no",4,"other","less6months",3
"1188",1195,2,3,2,3,2,2,2,2,4,2,2,3,3,3,4,3,4,3,5,3,2,2,67,2,4,4,3,4,4,3,2,1,4,3,2,3,4,1,4,1,61,1,1,4,4,6,1,1,3,3,1,2,3,13,2.28571428571429,2.66666666666667,3.33333333333333,3.4,3.66666666666667,2.83333333333333,"Female","below_ug","natural",1,22,1,"no",3,"ankara","6to12months",2
"1189",1196,2,4,1,1,1,1,1,3,2,2,1,4,4,5,5,5,3,2,2,3,1,3,1,1,1,2,3,4,1,3,2,2,4,3,4,3,4,3,3,2,40,1,1,4,3,17,2,1,5,4,1,2,3,50,1.57142857142857,2.66666666666667,5,2.2,2.33333333333333,3.33333333333333,"Male","ug","natural",1,33,1,"no",4,"other","6to12months",3
"1190",1197,3,2,2,2,1,3,2,4,4,3,4,3,4,3,2,2,5,4,5,5,4,2,70,2,3,3,2,4,2,4,2,2,3,4,3,4,4,4,4,2,50,1,1,5,3,7,1,1,30,4,1,2,3,70,2.14285714285714,3.66666666666667,2.33333333333333,4.6,3,3.83333333333333,"Female","ug","natural",1,23,1,"no",4,"other","more12months",2
"1191",1198,2,2,2,2,2,1,1,3,2,3,3,3,4,2,3,3,4,3,6,3,4,4,90,2,3,2,1,3,2,3,3,2,4,4,3,4,4,2,4,3,40,1,1,2,4,5,1,1,14,3,1,2,3,70,1.71428571428571,3,2.66666666666667,4,2.33333333333333,3.5,"Female","below_ug","natural",1,21,1,"no",3,"other","less6months",4
"1192",1199,1,1,1,1,1,1,2,2,1,4,3,2,4,1,5,1,5,2,5,6,6,1,45,2,3,3,1,4,2,2,2,2,3,4,4,3,4,4,4,2,91,3,3,5,6,12,1,1,11,4,1,2,3,50,1.14285714285714,2.66666666666667,2.33333333333333,4.8,2.5,3.83333333333333,"Female","ug","not_sure",0,28,0,"no",1,"other","more12months",1
"1193",1200,3,3,3,3,2,3,3,4,3,4,3,4,4,4,5,4,2,2,4,2,2,2,89,2,3,2,4,3,4,3,2,1,3,4,3,3,3,3,3,2,90,3,1,5,2,23,1,1,4,5,1,2,3,50,2.85714285714286,3.66666666666667,4.33333333333333,2.4,3.16666666666667,3.16666666666667,"Female","pg","natural",1,39,0,"no",5,"izmir","more12months",2
"1194",1201,1,1,1,1,1,1,1,4,5,5,1,3,1,3,3,2,6,6,5,3,2,6,78,2,3,2,4,4,4,1,1,1,1,3,2,2,3,1,3,1,61,1,2,5,5,9,2,1,79,4,2,2,3,10,1,3.16666666666667,2.66666666666667,4.4,3,2.33333333333333,"Male","ug","artificial",0,25,1,"no",2,"other","more12months",6
"1195",1202,2,2,3,2,1,3,2,2,2,3,2,4,4,4,4,4,1,3,1,4,3,1,8,2,3,4,4,2,3,4,3,2,4,4,3,4,3,4,4,4,30,2,3,5,2,19,2,1,4,4,1,2,2,2,2.14285714285714,2.83333333333333,4,2.4,3.33333333333333,3.66666666666667,"Male","ug","not_sure",0,35,0,"no",5,"izmir","more12months",1
"1196",1203,2,1,2,2,1,2,2,4,4,4,4,4,4,2,4,4,4,3,4,3,2,4,12,2,3,4,4,3,3,2,2,1,4,4,3,2,3,4,4,3,75,1,3,0,3,14,1,1,4,4,1,2,3,50,1.71428571428571,4,3.33333333333333,3.2,3.16666666666667,3.33333333333333,"Female","ug","not_sure",0,30,1,"no",4,"izmir","other",4
"1197",1204,2,2,2,2,1,2,2,4,5,3,4,4,4,2,2,2,5,6,3,5,3,2,71,2,4,3,4,4,3,4,3,1,4,4,4,4,4,4,4,1,51,1,1,5,1,20,1,1,5,5,1,1,3,50,1.85714285714286,4,2,4.4,3.66666666666667,4,"Female","pg","natural",1,36,1,"yes",6,"other","more12months",2
"1198",1205,2,1,2,1,1,2,2,5,3,5,4,3,4,5,5,4,3,3,4,3,2,4,50,1,3,3,3,3,3,3,3,1,4,4,4,4,3,4,4,3,25,1,3,5,3,13,1,1,29,4,1,1,3,10,1.57142857142857,4,4.66666666666667,3,3,3.83333333333333,"Female","ug","not_sure",0,29,1,"yes",4,"other","more12months",4
"1199",1206,2,1,1,2,4,2,2,5,1,5,5,5,5,5,5,5,5,1,6,3,1,1,97,1,3,3,3,4,3,4,2,1,5,4,2,1,4,4,1,1,16,1,1,4,4,6,1,1,29,3,1,2,3,62,2,4.33333333333333,5,3.2,3.33333333333333,2.66666666666667,"Female","below_ug","natural",1,22,1,"no",3,"other","6to12months",1
"1200",1207,2,1,1,1,1,2,1,2,2,2,3,3,2,1,2,2,3,5,6,3,4,7,69,2,2,1,2,3,1,2,1,1,3,4,4,4,3,4,4,1,13,1,1,3,5,7,1,1,11,3,2,2,3,38,1.28571428571429,2.33333333333333,1.66666666666667,4.2,1.83333333333333,3.83333333333333,"Female","below_ug","natural",1,23,1,"no",2,"other","less6months",0
"1201",1208,2,1,2,1,2,2,2,5,2,5,5,5,5,4,4,3,5,5,5,4,3,1,50,2,4,4,4,4,3,4,4,3,4,3,4,3,4,4,3,3,50,1,1,5,2,6,1,1,35,4,1,2,1,50,1.71428571428571,4.5,3.66666666666667,4.4,3.83333333333333,3.5,"Female","ug","natural",1,22,1,"no",5,"other","more12months",1
"1202",1209,1,1,2,2,2,1,1,2,4,2,4,3,5,4,4,1,4,5,2,3,3,4,70,1,4,3,2,4,1,4,3,2,4,4,3,3,4,1,4,2,90,1,1,5,4,6,2,1,4,3,1,2,3,70,1.42857142857143,3.33333333333333,3,3.4,3,3.16666666666667,"Male","below_ug","natural",1,22,1,"no",3,"izmir","more12months",4
"1203",1210,2,2,3,2,2,2,1,4,4,4,3,2,5,4,5,4,2,5,3,2,2,2,100,1,3,2,1,3,2,3,1,2,5,4,4,4,3,3,4,4,20,3,1,3,5,14,1,1,2,4,1,2,3,90,2,3.66666666666667,4.33333333333333,2.8,2.33333333333333,3.66666666666667,"Female","ug","natural",1,30,0,"no",2,"istanbul","less6months",2
"1204",1211,3,2,2,2,4,3,2,2,2,3,4,3,4,3,5,4,3,2,2,5,3,2,80,2,3,3,1,3,3,4,2,1,4,4,4,4,4,4,4,4,24,3,2,5,3,22,2,1,2,4,1,2,3,70,2.57142857142857,3,4,3,2.83333333333333,4,"Male","ug","artificial",0,38,0,"no",4,"istanbul","more12months",2
"1205",1212,3,2,2,4,2,4,1,4,3,4,5,4,4,2,4,4,5,3,2,3,2,2,70,2,4,1,3,4,2,3,3,1,4,4,3,4,4,4,4,2,45,1,2,0,4,9,2,1,24,4,1,2,3,60,2.57142857142857,4,3.33333333333333,3,2.83333333333333,3.83333333333333,"Male","ug","artificial",0,25,1,"no",3,"other","other",2
"1206",1213,4,4,4,4,4,4,3,5,3,3,4,4,4,1,5,4,2,6,6,3,1,5,45,1,4,4,4,4,3,3,3,1,4,3,3,4,4,4,4,1,25,3,3,5,1,7,1,1,40,4,1,2,2,20,3.85714285714286,3.83333333333333,3.33333333333333,3.6,3.66666666666667,3.66666666666667,"Female","ug","not_sure",0,23,0,"no",6,"other","more12months",5
"1207",1214,1,1,1,2,1,3,1,3,3,3,3,4,4,2,5,4,4,5,5,4,3,4,47,2,4,2,2,4,2,4,3,2,3,2,3,4,4,4,3,3,13,3,3,5,5,4,2,1,57,3,1,2,4,40,1.42857142857143,3.33333333333333,3.66666666666667,4.2,3,3.33333333333333,"Male","below_ug","not_sure",0,20,0,"no",2,"other","more12months",4
"1208",1215,2,1,1,2,1,1,1,4,2,4,4,5,5,3,3,2,5,5,5,5,3,2,60,2,3,1,1,1,1,2,3,2,4,4,3,4,3,1,4,1,30,1,3,3,2,2,2,1,53,2,1,2,3,100,1.28571428571429,4,2.66666666666667,4.6,1.5,3.16666666666667,"Male","below_ug","not_sure",0,18,1,"no",5,"other","less6months",2
"1209",1216,2,1,1,2,1,1,1,3,2,2,4,5,4,2,3,2,5,5,5,3,4,4,80,2,3,2,3,4,2,1,3,3,3,2,3,4,3,1,4,1,25,1,3,3,4,6,2,1,2,3,1,2,1,85,1.28571428571429,3.33333333333333,2.33333333333333,4.4,2.5,2.83333333333333,"Male","below_ug","not_sure",0,22,1,"no",3,"istanbul","less6months",4
"1210",1217,2,2,1,1,2,3,2,1,2,4,2,3,4,4,4,4,2,2,3,2,2,2,80,2,3,1,2,4,2,2,2,2,3,4,4,4,3,3,4,3,40,1,1,3,4,11,2,1,3,5,1,2,2,60,1.85714285714286,2.66666666666667,4,2.2,2.33333333333333,3.66666666666667,"Male","pg","natural",1,27,1,"no",3,"ankara","less6months",2
